time_s,velocity_px/s,raw_velocity_px/s
1.0,-400.22075166711437,-446.1376190185533
1.0166666666666666,-422.44827557766223,-472.88589477539233
1.0333333333333334,-425.05145358441234,-470.5341339111282
1.05,-409.0758044533516,-527.3780822753924
1.0666666666666667,-384.8527125059179,-224.2206573486336
1.0833333333333333,-365.00376560760634,-270.8301544189463
1.1,-354.0959416412093,-453.2203674316362
1.1166666666666667,-348.92672134179895,-344.6067810058606
1.1333333333333333,-347.2259164267285,-390.7356262207045
1.15,-349.6849307747735,-164.9597167968756
1.1666666666666667,-353.966497778481,-478.2279968261672
1.1833333333333333,-353.086424808287,-377.744293212892
1.2,-341.7378275067301,-343.41888427734494
1.2166666666666666,-320.34200412010136,-367.2901153564466
1.2333333333333334,-293.8070729206511,-275.59890747070045
1.25,-269.3138544108792,-232.9856872558602
1.2666666666666666,-253.3152185720409,-253.09066772461028
1.2833333333333334,-248.63375661367115,-167.67196655273273
1.3,-252.1704588455418,-209.59167480468824
1.3166666666666667,-254.1340063810606,-347.00317382812625
1.3333333333333333,-243.63895225496097,-353.54003906250125
1.35,-218.1093441901851,-218.10607910156037
1.3666666666666667,-185.88172075416105,-176.67388916015688
1.3833333333333333,-158.84104152079152,18.41239929199225
1.4,-142.33462152076336,-210.14099121093824
1.4166666666666667,-133.46684148922165,-223.02932739257594
1.4333333333333333,-129.47287985165448,-94.34165954589878
1.45,-131.80103427358785,-18.985748291015693
1.4666666666666666,-140.1866870524788,-222.49374389648517
1.4833333333333334,-149.23190572447336,-87.28981018066321
1.5,-152.5933774798101,-308.0909729003917
1.5166666666666666,-149.35929971780988,-169.9310302734381
1.5333333333333334,-146.37635063046338,7.333374023437428
1.55,-151.88639186508175,-208.424377441407
1.5666666666666667,-167.0669599413666,8.43200683593753
1.5833333333333333,-185.51252392978233,-462.18452453613446
1.6,-200.97481383322406,-88.94805908203038
1.6166666666666667,-213.06381405260228,-172.20726013183656
1.6333333333333333,-223.47415747954807,-314.9093627929699
1.65,-232.6304899235128,-169.5190429687506
1.6666666666666667,-240.69065940808161,-196.0407257080059
1.6833333333333333,-245.4487458946343,-265.75241088867284
1.7,-241.87957712943754,-336.6279602050793
1.7166666666666666,-227.25012725509077,-173.80027770996156
1.7333333333333334,-203.98719308617785,-275.6778717040989
1.75,-177.50631635155986,-80.2997589111331
1.7666666666666666,-151.254946652279,-52.40821838378925
